BookID,Title,Author,Genre,Rating,Review Count,Description
1,Book 1 Title,J.D. Salinger,Biography,3.5,2852,"This is a description of Book 1, a great biography novel."
2,Book 2 Title,J.R.R. Tolkien,Fantasy,2.9,2713,"This is a description of Book 2, a great fantasy novel."
3,Book 3 Title,George Orwell,Self-Help,2.4,1641,"This is a description of Book 3, a great self-help novel."
4,Book 4 Title,Harper Lee,Historical,2.7,2733,"This is a description of Book 4, a great historical novel."
5,Book 5 Title,J.D. Salinger,Historical,1.4,441,"This is a description of Book 5, a great historical novel."
6,Book 6 Title,J.R.R. Tolkien,Thriller,1.7,1234,"This is a description of Book 6, a great thriller novel."
7,Book 7 Title,J.D. Salinger,Non-Fiction,5.0,1275,"This is a description of Book 7, a great non-fiction novel."
8,Book 8 Title,J.R.R. Tolkien,Biography,3.5,1178,"This is a description of Book 8, a great biography novel."
9,Book 9 Title,Agatha Christie,Fiction,3.3,1872,"This is a description of Book 9, a great fiction novel."
10,Book 10 Title,J.R.R. Tolkien,Fiction,1.3,1160,"This is a description of Book 10, a great fiction novel."
11,Book 11 Title,Harper Lee,Fiction,3.6,1645,"This is a description of Book 11, a great fiction novel."
12,Book 12 Title,Stephen King,Sci-Fi,2.4,3107,"This is a description of Book 12, a great sci-fi novel."
13,Book 13 Title,George Orwell,Thriller,2.8,1025,"This is a description of Book 13, a great thriller novel."
14,Book 14 Title,Stephen King,Historical,3.8,4101,"This is a description of Book 14, a great historical novel."
15,Book 15 Title,J.D. Salinger,Historical,2.4,872,"This is a description of Book 15, a great historical novel."
16,Book 16 Title,Agatha Christie,Thriller,1.4,2416,"This is a description of Book 16, a great thriller novel."
17,Book 17 Title,Stephen King,Biography,4.9,1966,"This is a description of Book 17, a great biography novel."
18,Book 18 Title,J.K. Rowling,Fantasy,2.1,573,"This is a description of Book 18, a great fantasy novel."
19,Book 19 Title,Mark Twain,Self-Help,4.1,1380,"This is a description of Book 19, a great self-help novel."
20,Book 20 Title,Mark Twain,Romance,3.9,3175,"This is a description of Book 20, a great romance novel."
21,Book 21 Title,Stephen King,Fiction,2.3,205,"This is a description of Book 21, a great fiction novel."
22,Book 22 Title,Mark Twain,Self-Help,3.8,1326,"This is a description of Book 22, a great self-help novel."
23,Book 23 Title,Agatha Christie,Romance,1.8,1755,"This is a description of Book 23, a great romance novel."
24,Book 24 Title,Jane Austen,Biography,3.0,1733,"This is a description of Book 24, a great biography novel."
25,Book 25 Title,J.D. Salinger,Fiction,3.3,649,"This is a description of Book 25, a great fiction novel."
26,Book 26 Title,George Orwell,Sci-Fi,3.8,1578,"This is a description of Book 26, a great sci-fi novel."
27,Book 27 Title,J.R.R. Tolkien,Thriller,1.8,2246,"This is a description of Book 27, a great thriller novel."
28,Book 28 Title,Jane Austen,Thriller,4.2,2873,"This is a description of Book 28, a great thriller novel."
29,Book 29 Title,Stephen King,Sci-Fi,4.6,4636,"This is a description of Book 29, a great sci-fi novel."
30,Book 30 Title,Harper Lee,Fantasy,2.2,712,"This is a description of Book 30, a great fantasy novel."
31,Book 31 Title,Agatha Christie,Biography,4.8,693,"This is a description of Book 31, a great biography novel."
32,Book 32 Title,Stephen King,Fiction,3.3,2422,"This is a description of Book 32, a great fiction novel."
33,Book 33 Title,J.R.R. Tolkien,Romance,3.0,3352,"This is a description of Book 33, a great romance novel."
34,Book 34 Title,J.K. Rowling,Self-Help,3.5,2616,"This is a description of Book 34, a great self-help novel."
35,Book 35 Title,George Orwell,Fiction,2.7,2440,"This is a description of Book 35, a great fiction novel."
36,Book 36 Title,Jane Austen,Fantasy,1.6,3779,"This is a description of Book 36, a great fantasy novel."
37,Book 37 Title,Stephen King,Romance,1.7,3449,"This is a description of Book 37, a great romance novel."
38,Book 38 Title,Agatha Christie,Historical,3.3,1116,"This is a description of Book 38, a great historical novel."
39,Book 39 Title,Mark Twain,Historical,3.3,2114,"This is a description of Book 39, a great historical novel."
40,Book 40 Title,Mark Twain,Sci-Fi,4.1,4517,"This is a description of Book 40, a great sci-fi novel."
41,Book 41 Title,J.D. Salinger,Biography,4.0,3394,"This is a description of Book 41, a great biography novel."
42,Book 42 Title,George Orwell,Fiction,1.8,3731,"This is a description of Book 42, a great fiction novel."
43,Book 43 Title,J.R.R. Tolkien,Thriller,2.8,1131,"This is a description of Book 43, a great thriller novel."
44,Book 44 Title,J.R.R. Tolkien,Mystery,1.7,56,"This is a description of Book 44, a great mystery novel."
45,Book 45 Title,J.D. Salinger,Fantasy,2.3,2806,"This is a description of Book 45, a great fantasy novel."
46,Book 46 Title,Agatha Christie,Thriller,2.1,2244,"This is a description of Book 46, a great thriller novel."
47,Book 47 Title,J.D. Salinger,Self-Help,3.1,2652,"This is a description of Book 47, a great self-help novel."
48,Book 48 Title,George Orwell,Biography,4.1,3733,"This is a description of Book 48, a great biography novel."
49,Book 49 Title,J.R.R. Tolkien,Romance,4.3,212,"This is a description of Book 49, a great romance novel."
50,Book 50 Title,Agatha Christie,Non-Fiction,3.1,3502,"This is a description of Book 50, a great non-fiction novel."
51,Book 51 Title,J.D. Salinger,Non-Fiction,2.5,1663,"This is a description of Book 51, a great non-fiction novel."
52,Book 52 Title,Harper Lee,Non-Fiction,4.2,650,"This is a description of Book 52, a great non-fiction novel."
53,Book 53 Title,J.D. Salinger,Romance,3.1,913,"This is a description of Book 53, a great romance novel."
